x,which_end,loss
287,1,29164.353832354307
287,-1,8861.449346152349
288,1,29166.158306213554
288,-1,8868.65513335664
289,1,29168.112155487182
289,-1,8877.540577776821
290,1,29170.208973806373
290,-1,8904.504137745123
291,1,29172.44630723492
291,-1,8917.540833675861
292,1,29180.480037821195
292,-1,8925.470303380242
293,1,29193.212403479323
293,-1,8923.306524206839
294,1,29192.934113105846
294,-1,8929.880543375191
295,1,29193.756374907316
295,-1,8937.25546830094
296,1,29195.153684251905
296,-1,8939.878113760808
297,1,29196.935948471382
297,-1,8966.903943159132
298,1,29199.009352590063
298,-1,8985.045040036714
299,1,29201.3153529148
299,-1,8996.711381960062
300,1,29203.8160159524
300,-1,9020.36742685775
301,1,29206.487091158655
301,-1,9036.494558954342
302,1,29209.314510896016
302,-1,9064.306271539444
303,1,29212.285615825534
303,-1,9066.831555791001
304,1,29215.39303357681
304,-1,9078.223826928424
305,1,29218.626975780593
305,-1,9101.34628187607
306,1,29221.980056306616
306,-1,9156.9603104852
307,1,29225.443202765826
307,-1,9164.872758347548
308,1,29229.01723371666
308,-1,9175.982016059692
309,1,29232.696531763457
309,-1,9176.717609979352
310,1,29236.47727476992
310,-1,9180.245977023227
311,1,29240.353768760426
311,-1,9179.718750066473
312,1,29244.32502033606
312,-1,9193.164375134624
313,1,29248.375581730503
313,-1,9200.716643156504
314,1,29252.49891127515
314,-1,9203.36368156611
315,1,29256.686841729635
315,-1,9213.586444907833
316,1,29260.94581186796
316,-1,9235.635453776202
317,1,29265.267427571613
317,-1,9279.489903012132
318,1,29269.65091259008
318,-1,9335.31081977819
319,1,29274.09795666088
319,-1,9419.351387027427
320,1,29278.608929989663
320,-1,9422.450612843826
321,1,29283.186264900192
321,-1,9419.272006184436
322,1,29287.82826480796
322,-1,9420.830532138501
323,1,29315.978348374923
323,-1,9425.203527017284
324,1,29339.81030134417
324,-1,9425.244791679062
325,1,29337.43392899125
325,-1,9421.631198088575
326,1,29337.43206988008
326,-1,9426.525718749166
327,1,29338.60500422838
327,-1,9426.328826378554
328,1,29340.501100755067
328,-1,9445.6814785185
329,1,29342.89201561239
329,-1,9445.421565893976
330,1,29345.65601089505
330,-1,9459.254741919138
331,1,29348.706279405218
331,-1,9460.514470468397
332,1,29351.98728334187
332,-1,9463.668866850865
333,1,29355.465442839417
333,-1,9485.9106346421
334,1,29359.11067655209
334,-1,9541.420729353365
335,1,29362.899977764966
335,-1,9559.775255434952
336,1,29366.8191273577
336,-1,9560.808363615764
337,1,29370.858634012613
337,-1,9558.798747229645
338,1,29375.006971089853
338,-1,9571.188981802154
339,1,29379.25693076721
339,-1,9583.148525917368
340,1,29383.60454884668
340,-1,9595.013452642814
341,1,29388.041407915975
341,-1,9606.85175317323
342,1,29392.56723595987
342,-1,9612.91423059565
343,1,29397.176946761803
343,-1,9614.21974343756
344,1,29401.866280931008
344,-1,9617.420611067222
345,1,29406.635574420892
345,-1,9627.778944068208
346,1,29411.483237933073
346,-1,9650.003208085509
347,1,29416.405474347703
347,-1,9670.091849169828
348,1,29421.400659778687
348,-1,9767.067449284441
349,1,29426.467583965197
349,-1,9801.256581379643
350,1,29431.60256451899
350,-1,9786.26493106661
351,1,29436.807177370807
351,-1,9784.451960612801
352,1,29442.077930118943
352,-1,9809.604272644538
353,1,29453.45829924338
353,-1,9802.24018008575
354,1,29457.75770077856
354,-1,9799.058114135543
355,1,29468.567553525725
355,-1,9804.141333438462
356,1,29472.463263624497
356,-1,9839.986480217522
357,1,29476.91943247919
357,-1,9846.66146298548
358,1,29481.675752865598
358,-1,9854.815842278682
359,1,29486.634998859
359,-1,9894.073845915307
360,1,29491.74888490891
360,-1,9885.759269111464
361,1,29496.994953685855
361,-1,9924.520795063165
362,1,29502.35383353786
362,-1,9982.060405151544
363,1,29507.812188859854
363,-1,10069.969076027579
