id,occupancy_rate_reviews,occupancy_rate_calendar,is_review_recent_z_score,Predicted Discrepency,Calendar Weight,Review Weight,Occupancy Rate Final,Occupancy Confidence
36846879,0.1107733945,-0.577777778,0.9997535934,0.7996232196,0.2003767804,1,0.092282187,1.2003767804
36847500,0.2960137356,-0.8,2.9213963039,1.0979954551,0,0.039301848,0.2960137356,0.039301848
36847534,0.1743994247,0,1.2931416838,0.3199675482,0.6800324518,0.8534291581,0.0970598502,1.5334616099
36848117,0.2162798496,0.8,0.1944969199,0.5238267545,0.4761732455,1,0.4045720567,1.4761732455
36849605,0.2001719939,-0.8,1.7662422998,1.0574473736,0,0.6168788501,0.2001719939,0.6168788501
36850809,0.2935975572,-0.222222222,1.683449692,0.4330203323,0.5669796677,0.658275154,0.1577369652,1.2252548217
36850889,0.5118590026,0.7975291695,0,0.4503212973,0.5496787027,1,0.6131876241,1.5496787027
36851424,0.4707839704,-1,2.2866529774,1.2409378572,0,0.3566735113,0.4707839704,0.3566735113
36852670,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
36858725,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
36862091,0.3926608701,-0.511111111,0.723449692,0.8431637262,0.1568362738,1,0.3394264849,1.1568362738
36867595,,-0.8,999,1.1111451539,0,0,,0
36868111,0.1679562824,1,1.2142915811,0.6682005654,0.3317994346,0.8928542094,0.3933846199,1.224653644
36869808,,0.7785403798,999,0.4792913211,0.5207086789,0,0.7785403798,0.5207086789
36870217,0.1832587453,-1,1.5467761807,1.2485452521,0,0.7266119097,0.1832587453,0.7266119097
36870557,0.1599023545,0,1.6144558522,0.1625434283,0.8374565717,0.6927720739,0.0723917214,1.5302286457
36872094,0.1333243925,1,0.5765913758,0.6963127867,0.3036872133,1,0.3352120059,1.3036872133
36872628,0.3282294471,0,1.0372073922,0.3211802257,0.6788197743,0.9813963039,0.1940248444,1.6602160782
36874267,0.1574861761,-0.133333333,2.8583162218,0.3924002615,0.6075997385,0.0708418891,0.0164444777,0.6784416276
36874407,0.1091626089,0,0.9856262834,0.2295696355,0.7704303645,1,0.0616587984,1.7704303645
36875336,0.3540020163,-0.333333333,4.2970020534,0.6766900104,0.3233099896,0,0,0.3233099896
36876392,0.3765530143,-0.222222222,1.2540451745,0.5638895459,0.4361104541,0.8729774127,0.2511078779,1.3090878668
36877037,0.1115787872,0.1738732555,0.9639425051,0.1663505707,0.8336494293,1,0.1399003121,1.8336494293
36877523,,1,999,0.696608997,0.303391003,0,1,0.303391003
36877795,,0,999,0.306349664,0.693650336,0,0,0.693650336
36878717,0.1558753906,0,2.5662422998,0.3162191437,0.6837808563,0.2168788501,0.0375347928,0.9006597064
36880122,0.1131895728,0,0.9987679671,0.1625434283,0.8374565717,1,0.0616012234,1.8374565717
36880990,0.2509117395,0,10.228501027,0.3061448173,0.6938551827,0,0,0.6938551827
36882448,0.1470160699,0,3.6054209446,0.1625434283,0.8374565717,0,0,0.8374565717
36882914,0.2050043506,-0.866666667,1.0565913758,1.1776749873,0,0.9717043121,0.2050043506,0.9717043121
36883130,0.5585717843,-0.111111111,1.6942915811,0.4544058105,0.5455941895,0.6528542094,0.3042817204,1.198448399
36883954,0.3225916975,-0.222222222,0.9199178645,0.5336832872,0.4663167128,1,0.2200013781,1.4663167128
36884277,0.1856749237,0,1.5901437372,0.2177652158,0.7822347842,0.7049281314,0.0880115256,1.4871629156
36885269,0.305678449,-0.333333333,2.0422176591,0.6446490012,0.3553509988,0.4788911704,0.1754726812,0.8342421693
36898783,1.2351017257,-0.222222222,1.8569199179,0.5498927057,0.4501072943,0.5715400411,0.6909528039,1.0216473354
36900144,0.563404141,-0.206604133,0,0.5400875412,0.4599124588,1,0.3859163867,1.4599124588
36900263,0.4973619324,0.5333333333,2.939137577,0.2483068438,0.7516931562,0.0304312115,0.5319337435,0.7821243677
36901132,0.3032622706,-1,3.5324845996,1.266633695,0,0,,0
